id,width,parent,graph_prefix,D_ns,A_um2,E_stress_pj,E_uniform_pj,E_low_pj,J,J_reported,margin_ps,feasible,source_path,source_url,note,evidence_level,label,supplement_label,paper_table_label
ff6,32,G0,ff6f3194,2.110139,1299.0,1.331617095,0.9302863327,0.2848759686,0.8396371501336095,0.8396371501,289.8609999999997,True,review/chia_O32_global_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_O32_global_phase/20260924/VERDICT.md,Earlier in-project CHIA G32 four-star result; sibling of G1,receipt view and previously transcribed metrics,Feedback-selected four-star trial,Feedback-selected four-star trial,Feedback-selected four-star trial
O1,32,ff6,f8a77599,2.069854,1299.0,1.280009747,0.8892433107,0.2677222983,0.799552863297334,0.7995528633,330.1460000000001,True,review/chia_O32_global_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_O32_global_phase/20260924/VERDICT.md,Count-11 binary phase plan,receipt view and previously transcribed metrics,Minimum-count binary assignment,Minimum-count binary plan,Minimum-count binary assignment
O2,32,ff6,c6c10558,2.098243,1299.0,1.279070711,0.8860687376,0.2669597961,0.79764622997943,0.79764623,301.75699999999983,True,review/chia_O32_global_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_O32_global_phase/20260924/VERDICT.md,Weighted count-11 alternative,receipt view and previously transcribed metrics,Power-weighted binary assignment,Power-weighted binary plan,Power-weighted binary assignment
V1,32,O2,8e5b08be,2.080952,1297.0,1.277263218,0.8862236427,0.2673304698,0.7976856387624335,0.7976856388,319.048,True,review/chia_V_w32_mixed/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_V_w32_mixed/20260924/VERDICT.md,Mixed-arity singleton; worse J,receipt view and previously transcribed metrics,Mixed-arity single-group trial,Mixed-arity single-group trial,Mixed-arity single-group trial
V2,32,O2,2a287349,2.081588,1296.0,1.275677205,0.8836139023,0.2662638326,0.7955110408817433,0.7955110409,318.4119999999999,True,review/chia_V_w32_mixed/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_V_w32_mixed/20260924/VERDICT.md,Mixed-arity global assignment; sibling of V1,receipt view and previously transcribed metrics,Final mixed-arity assignment,Final mixed-arity plan,Final mixed-arity assignment
G0,32,projected32,18644d78,2.061026,1299.0,1.363066986,0.9591930575,0.2974786548,0.8672960832000194,0.8672960832,338.9739999999999,True,review/chia_G32_phase_transfer/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_G32_phase_transfer/20260924/VERDICT.md,"Local-phase transfer checkpoint, input to both G32 trials",receipt view and previously transcribed metrics,Transferred local phase pairs,Transferred local phase pairs,Transferred local phase pairs
G1,32,G0,00188fb5,2.060426,1299.0,1.339273003,0.9376481466,0.2863927511,0.844950729460286,0.8449507295,339.57399999999984,True,review/chia_G32_phase_transfer/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/f5d938b24403f97bc199592f86fb0d7a88541a92/review/chia_G32_phase_transfer/20260924/VERDICT.md,Three-star trial; its measurement informed selection of ff6,receipt view and previously transcribed metrics,Three-star local trial,Three-star local trial,Three-star local trial
ref64,64,,,2.526346,2392,2.541007707,2.027927403,0.4358843944,1.0,,-126.34600000000029,False,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,"Fixed normalization reference; an in-project searched RTL, timing-infeasible at final ceiling",transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Searched RTL reference,Searched RTL reference,Searched RTL reference
tuned64,64,,4b8,2.372445,2434,2.641682804,2.010296885,0.4120997983,0.9913747530659008,,27.554999999999996,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,"Matched recovery control retained; pre-optimized feasible campaign anchor, not original untouched RTL; same RTL as first feasible trial, with a changed physical recipe; no direct routed-byte ancestry is asserted here.",transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,RTL + physical tuning (start),RTL + physical tuning,RTL + physical tuning (start)
recovery64,64,tuned64,f59eb860,2.397587,2424,2.629275259,2.010854514,0.4121138772,0.9899229945846845,,2.4129999999997764,True,review/chia_top1_B_recovery_proxy_v8/20260923/RESULT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_recovery_proxy_v8/20260923/RESULT.md,Recovered energy at a smaller timing margin,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Calibrated power recovery,Calibrated power recovery,
pin164,64,recovery64,ef373,2.365314,2424,2.630400704,2.012901823,0.4120333688,0.9903356109357062,,34.68599999999977,True,review/chia_top1_B_postroute_pin_eco/20260923/RESULT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_postroute_pin_eco/20260923/RESULT.md,"Direct EDA prototype selected by native model, NOT CHIA/Ray; retain attribution",transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,First pin-swap prototype,First pin-swap prototype,
pin264,64,pin164,b441,2.359425,2424,2.631109965,2.013202902,0.4119766891,0.9904285736703958,,40.57500000000003,True,review/chia_top1_B_postroute_pin_eco_02/20260923/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_postroute_pin_eco_02/20260923/VERDICT.md,New native decision after prior path feedback; actual CHIA/Ray,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Feedback-selected pin swap,Feedback-selected pin swap,
downsize64,64,pin264,f44102a9,2.37391,2416,2.626159403,2.006511349,0.4115977572,0.9884059071531012,,26.089999999999947,True,review/chia_top1_B_b441_selective_downsize/20260923/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_b441_selective_downsize/20260923/VERDICT.md,Selective non-worst-path cell downsizing; new feasible energy result,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Selective cell downsizing,Selective cell downsizing,
composed64,64,downsize64,e5e837de,2.358853,2416,2.625896304,2.008363954,0.410271241,0.9876137311390889,,41.14700000000005,True,review/chia_top1_E_f441_rotation_complement/20260923/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_E_f441_rotation_complement/20260923/VERDICT.md,"Rotation on routed downsized parent; measured composition, not additive deltas",transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,"Pin swaps, downsizing, and tree rotation",Pin/downsize + tree rotation,"Pin swaps, downsizing, and tree rotation"
pair64,64,composed64,51652,2.359302,2416,2.619733568,2.005280985,0.4086328772,0.9850206152250748,,40.6979999999999,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,First local phase pair on composed design,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Initial local phase pair,Initial local phase pair,
batch4,64,pair64,43a79,2.362417,2416,2.598359133,1.984607952,0.3908337021,0.9645218444604474,,37.5829999999997,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Four-group local batch,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Four-pair phase batch,Four-pair phase batch,
batch6,64,batch4,9c9a0b3f,2.36162,2416,2.588101197,1.974260085,0.3884057514,0.9595785280178226,,38.38000000000008,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Two further groups selected after requested timing queries,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Six-pair phase milestone,Six-pair phase milestone,
batch8,64,batch6,437fa753,2.371359,2416,2.577746927,1.964015246,0.3871342778,0.9555916600526079,,28.640999999999917,True,review/chia_phase_batch/20260923/run-03.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_phase_batch/20260923/run-03.json,Last two local groups; model operation meaning clarified before execution,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Batched local phase refinements,Eight-pair phase milestone,Batched local phase refinements
star64,64,batch8,b00ff2fa,2.398144,2416,2.570336219,1.956616616,0.3816443132,0.9489461919489333,,1.8560000000000798,True,review/chia_star_phase/20260923/run-02.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_star_phase/20260923/run-02.json,Shared producer-consumer local change; only 1.856 ps margin,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Shared-consumer phase refinement,Shared-consumer phase edit,Shared-consumer phase refinement
fold64,64,star64,5b007892,2.363135,2427,2.583332825,1.958906068,0.3823099905,0.9514660680932223,,36.864999999999704,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Fold operation buys timing margin with energy and area cost,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Fold for additional timing headroom,Fold for timing headroom,Fold for additional timing headroom
local311,64,9eb (outside selected table),fc806b8a,2.373917,2416,2.565100149,1.951085724,0.3819478297,0.9476580853979355,,26.082999999999856,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Actual immediate parent 9eb identified in command history; not b00. Parent metrics are outside this selected table.,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Local shared-consumer branch,Local shared-consumer branch,
local258,64,,1b904211,2.373085,2427,2.569547214,1.944607502,0.3786522939,0.944422839769258,,26.9149999999998,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Folded local-phase branch; not treated as direct child without receipt,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Folded local phase refinement,Folded local phase refinement,
local266,64,local258,234c2a9a,2.364892,2427,2.559028508,1.934800093,0.3775674122,0.9406441092449024,,35.10799999999969,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Prior local search result used by four-star failure and conservative single-star trial,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Extended local phase refinement,Extended local phase refinement,
F01,64,local266,,2.405758,2427,2.527142642,1.903886005,0.3745468712,0.9292139506454222,,-5.758000000000152,False,review/chia_F_composable_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_F_composable_phase/20260924/VERDICT.md,Four-star failed timing; diagnostic later supplied to F03 but not F02,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Four-star timing failure,Four-star timing failure,
F02,64,local266,244543a8,2.362283,2427,2.55051913,1.926686964,0.3771194679,0.9379139527761079,,37.71699999999978,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Single-star feasible intermediate before bbf,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Conservative one-star recovery,Conservative one-star recovery,
ref32,32,,,2.248806,1836,1.595184585,1.140097229,0.3278113945,1.0,,151.19399999999982,True,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,MASKED/F0 normalization reference; already a project-owned rewritten RTL,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Masked-RTL reference,Masked-RTL reference,Masked-RTL reference
projected32,32,,f9843a3b,2.049337,1299,1.379291207,0.9746563592,0.3068061415,0.8844328925383526,,350.66299999999995,True,review/chia_top1_B_w32_v8_transfer/20260923/RESULT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_w32_v8_transfer/20260923/RESULT.md,Fixed projection of previously searched RTL to width32; power recovery transfer was a no-op,transcribed from Git summary/VERDICT and corroborated command history; no EDA rerun,Projected searched RTL (start),Projected searched RTL,Projected searched RTL (start)
repair_b271,64,,,2.43203,2434,2.603721223,2.055286459,0.4485885438,1.0224178863717446,1.0224178863717446,-32.03000000000023,False,review/chia_top1_freechoice/20260923/receipt.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_freechoice/20260923/receipt.json,"Three-route early selection episode; read-only connector receipt transcription, not EDA rerun.",newly checked Git receipt,Repaired searched reference (fails),Repaired searched reference (fails),
repair_ad71,64,,,2.407488,2414,2.57934822,2.049534087,0.4442622594,1.0149818566372795,1.0149818566372795,-7.487999999999939,False,review/chia_top1_freechoice/20260923/receipt.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_freechoice/20260923/receipt.json,"Three-route early selection episode; read-only connector receipt transcription, not EDA rerun.",newly checked Git receipt,Second repaired RTL choice (fails),Second repaired RTL choice (fails),
first64,64,,,2.379898,2434,2.647325164,2.010552998,0.4120873928,0.992112248934193,0.9921122489341929,20.102000000000064,True,review/chia_top1_freechoice/20260923/receipt.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_freechoice/20260923/receipt.json,"Three-route early selection episode; read-only connector receipt transcription, not EDA rerun.",newly checked Git receipt,First feasible model-selected RTL,First feasible model-selected RTL,
