paper_name,internal_id,width_bits,graph_prefix,known_parent_id,known_parent_name,source_path,source_url,note,main_table_label,supplement_label
RTL + physical tuning (start),tuned64,64,4b8,,not established in selected table,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,"Matched recovery control retained; pre-optimized feasible campaign anchor, not original untouched RTL; same RTL as first feasible trial, with a changed physical recipe; no direct routed-byte ancestry is asserted here.",RTL + physical tuning (start),RTL + physical tuning
Calibrated power recovery,recovery64,64,f59eb860,tuned64,RTL + physical tuning,review/chia_top1_B_recovery_proxy_v8/20260923/RESULT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_recovery_proxy_v8/20260923/RESULT.md,Recovered energy at a smaller timing margin,,Calibrated power recovery
First pin-swap prototype,pin164,64,ef373,recovery64,Calibrated power recovery,review/chia_top1_B_postroute_pin_eco/20260923/RESULT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_postroute_pin_eco/20260923/RESULT.md,"Direct EDA prototype selected by native model, NOT CHIA/Ray; retain attribution",,First pin-swap prototype
Feedback-selected pin swap,pin264,64,b441,pin164,First pin-swap prototype,review/chia_top1_B_postroute_pin_eco_02/20260923/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_postroute_pin_eco_02/20260923/VERDICT.md,New native decision after prior path feedback; actual CHIA/Ray,,Feedback-selected pin swap
Selective cell downsizing,downsize64,64,f44102a9,pin264,Feedback-selected pin swap,review/chia_top1_B_b441_selective_downsize/20260923/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_b441_selective_downsize/20260923/VERDICT.md,Selective non-worst-path cell downsizing; new feasible energy result,,Selective cell downsizing
"Pin swaps, downsizing, and tree rotation",composed64,64,e5e837de,downsize64,Selective cell downsizing,review/chia_top1_E_f441_rotation_complement/20260923/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_E_f441_rotation_complement/20260923/VERDICT.md,"Rotation on routed downsized parent; measured composition, not additive deltas","Pin swaps, downsizing, and tree rotation",Pin/downsize + tree rotation
Initial local phase pair,pair64,64,51652,composed64,Pin/downsize + tree rotation,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,First local phase pair on composed design,,Initial local phase pair
Four-pair phase batch,batch4,64,43a79,pair64,Initial local phase pair,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Four-group local batch,,Four-pair phase batch
Six-pair phase milestone,batch6,64,9c9a0b3f,batch4,Four-pair phase batch,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Two further groups selected after requested timing queries,,Six-pair phase milestone
Batched local phase refinements,batch8,64,437fa753,batch6,Six-pair phase milestone,review/chia_phase_batch/20260923/run-03.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_phase_batch/20260923/run-03.json,Last two local groups; model operation meaning clarified before execution,Batched local phase refinements,Eight-pair phase milestone
Shared-consumer phase refinement,star64,64,b00ff2fa,batch8,Eight-pair phase milestone,review/chia_star_phase/20260923/run-02.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_star_phase/20260923/run-02.json,Shared producer-consumer local change; only 1.856 ps margin,Shared-consumer phase refinement,Shared-consumer phase edit
Fold for additional timing headroom,fold64,64,5b007892,star64,Shared-consumer phase edit,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Fold operation buys timing margin with energy and area cost,Fold for additional timing headroom,Fold for timing headroom
Local shared-consumer branch,local311,64,fc806b8a,9eb (outside selected table),not established in selected table,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Actual immediate parent 9eb identified in command history; not b00. Parent metrics are outside this selected table.,,Local shared-consumer branch
Folded local phase refinement,local258,64,1b904211,,not established in selected table,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Folded local-phase branch; not treated as direct child without receipt,,Folded local phase refinement
Extended local phase refinement,local266,64,234c2a9a,local258,Folded local phase refinement,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Prior local search result used by four-star failure and conservative single-star trial,,Extended local phase refinement
Four-star timing failure,F01,64,,local266,Extended local phase refinement,review/chia_F_composable_phase/20260924/VERDICT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_F_composable_phase/20260924/VERDICT.md,Four-star failed timing; diagnostic later supplied to F03 but not F02,,Four-star timing failure
Conservative one-star recovery,F02,64,244543a8,local266,Extended local phase refinement,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,Single-star feasible intermediate before bbf,,Conservative one-star recovery
Masked-RTL reference,ref32,32,,,not established in selected table,review/top1_execution/20260923/current.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/top1_execution/20260923/current.md,MASKED/F0 normalization reference; already a project-owned rewritten RTL,Masked-RTL reference,Masked-RTL reference
Projected searched RTL (start),projected32,32,f9843a3b,,not established in selected table,review/chia_top1_B_w32_v8_transfer/20260923/RESULT.md,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_B_w32_v8_transfer/20260923/RESULT.md,Fixed projection of previously searched RTL to width32; power recovery transfer was a no-op,Projected searched RTL (start),Projected searched RTL
Repaired searched reference (fails),repair_b271,64,,,not established in selected table,review/chia_top1_freechoice/20260923/receipt.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_freechoice/20260923/receipt.json,"Three-route early selection episode; read-only connector receipt transcription, not EDA rerun.",,Repaired searched reference (fails)
Second repaired RTL choice (fails),repair_ad71,64,,,not established in selected table,review/chia_top1_freechoice/20260923/receipt.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_freechoice/20260923/receipt.json,"Three-route early selection episode; read-only connector receipt transcription, not EDA rerun.",,Second repaired RTL choice (fails)
First feasible model-selected RTL,first64,64,,,not established in selected table,review/chia_top1_freechoice/20260923/receipt.json,https://github.com/RayBerryHead/260908_CHIA_Hackathon/blob/5007b19c492cfb009084b159654cbdfbf0f588dd/review/chia_top1_freechoice/20260923/receipt.json,"Three-route early selection episode; read-only connector receipt transcription, not EDA rerun.",,First feasible model-selected RTL
